measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Number,1991,12461.29512,14198.51234,11334.45171
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Rate,1991,3.518747364,4.009292563,3.200555937
Deaths,North Africa and Middle East,Both,Age-standardized,Breast cancer,Rate,1991,6.425488337,7.348399705,5.823355382
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1991,7279.732469,8536.6619,6175.63817
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1991,3.730885493,4.375065729,3.165033736
Deaths,Eastern Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1991,9.269792233,10.86836888,7.770191056
Deaths,Central Europe,Both,All ages,Breast cancer,Number,1991,17967.90993,18456.8545,17366.44587
Deaths,Central Europe,Both,All ages,Breast cancer,Rate,1991,14.59066367,14.98770627,14.10225072
Deaths,Central Europe,Both,Age-standardized,Breast cancer,Rate,1991,12.54612556,12.8996064,12.07928399
Deaths,Southern Latin America,Both,All ages,Breast cancer,Number,1991,7403.75785,7656.019351,7110.347748
Deaths,Southern Latin America,Both,All ages,Breast cancer,Rate,1991,14.75599507,15.25876266,14.17121663
Deaths,Southern Latin America,Both,Age-standardized,Breast cancer,Rate,1991,16.12527424,16.69231236,15.3992062
Deaths,Caribbean,Both,All ages,Breast cancer,Number,1992,2917.875282,3078.296367,2748.463404
Deaths,Caribbean,Both,All ages,Breast cancer,Rate,1992,8.049171229,8.491704462,7.581836241
Deaths,Caribbean,Both,Age-standardized,Breast cancer,Rate,1992,10.61518593,11.18862513,9.987468781
Deaths,Andean Latin America,Both,All ages,Breast cancer,Number,1992,1646.358447,1851.372164,1469.531624
Deaths,Andean Latin America,Both,All ages,Breast cancer,Rate,1992,4.144052444,4.660092919,3.698961261
Deaths,Andean Latin America,Both,Age-standardized,Breast cancer,Rate,1992,7.061817738,7.893741459,6.317666843
Deaths,South Asia,Both,All ages,Breast cancer,Number,1991,42335.95835,48531.25338,35241.62216
Deaths,South Asia,Both,All ages,Breast cancer,Rate,1991,3.783563383,4.337236723,3.149542762
Deaths,South Asia,Both,Age-standardized,Breast cancer,Rate,1991,6.835480088,7.967592673,5.604066741
Deaths,High-income North America,Both,All ages,Breast cancer,Number,1991,53106.62212,54490.46558,50321.01986
Deaths,High-income North America,Both,All ages,Breast cancer,Rate,1991,18.69097966,19.17802608,17.71058149
Deaths,High-income North America,Both,Age-standardized,Breast cancer,Rate,1991,15.30341696,15.67001743,14.5899801
Deaths,High-income Asia Pacific,Both,All ages,Breast cancer,Number,1991,9954.556779,10210.74024,9528.512706
Deaths,High-income Asia Pacific,Both,All ages,Breast cancer,Rate,1991,5.710180122,5.857133295,5.465790698
Deaths,High-income Asia Pacific,Both,Age-standardized,Breast cancer,Rate,1991,4.845070473,4.977616278,4.611924649
Deaths,Eastern Europe,Both,All ages,Breast cancer,Number,1992,32664.68952,33519.17395,31839.8097
Deaths,Eastern Europe,Both,All ages,Breast cancer,Rate,1992,14.38927581,14.76568876,14.02590413
Deaths,Eastern Europe,Both,Age-standardized,Breast cancer,Rate,1992,11.75542494,12.06053467,11.44917078
Deaths,East Asia,Both,All ages,Breast cancer,Number,1992,45880.71009,52995.12235,39055.73845
Deaths,East Asia,Both,All ages,Breast cancer,Rate,1992,3.655399622,4.222217786,3.111641718
Deaths,East Asia,Both,Age-standardized,Breast cancer,Rate,1992,4.752850656,5.468191885,4.081357749
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1992,7448.797426,8685.361061,6328.205872
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1992,3.729771921,4.348945737,3.168667803
Deaths,Eastern Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1992,9.293159716,10.85867225,7.802891165
Deaths,Oceania,Both,All ages,Breast cancer,Number,1992,608.8176571,750.5629498,482.339358
Deaths,Oceania,Both,All ages,Breast cancer,Rate,1992,8.965221948,11.05251031,7.102749646
Deaths,Oceania,Both,Age-standardized,Breast cancer,Rate,1992,16.41029975,19.93928471,13.25350564
Deaths,Caribbean,Both,All ages,Breast cancer,Number,1991,2815.923252,2973.130892,2660.24586
Deaths,Caribbean,Both,All ages,Breast cancer,Rate,1991,7.873669375,8.313241362,7.438376151
Deaths,Caribbean,Both,Age-standardized,Breast cancer,Rate,1991,10.51868704,11.09071303,9.903556794
Deaths,Southeast Asia,Both,All ages,Breast cancer,Number,1992,31282.63956,35083.466,28400.6956
Deaths,Southeast Asia,Both,All ages,Breast cancer,Rate,1992,6.471243418,7.257496541,5.875073748
Deaths,Southeast Asia,Both,Age-standardized,Breast cancer,Rate,1992,10.25446636,11.37622585,9.345454286
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1991,3099.081576,3511.19254,2759.841498
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1991,5.768353279,6.53541977,5.136922137
Deaths,Southern Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1991,10.79128527,12.39694679,9.533224143
Deaths,Southern Latin America,Both,All ages,Breast cancer,Number,1992,7558.431155,7810.387135,7254.106523
Deaths,Southern Latin America,Both,All ages,Breast cancer,Rate,1992,14.8837253,15.37986577,14.28446281
Deaths,Southern Latin America,Both,Age-standardized,Breast cancer,Rate,1992,16.12962326,16.68805581,15.383043
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1991,8217.953944,10140.93836,6674.694102
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1991,4.146548217,5.116832018,3.367862745
Deaths,Western Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1991,8.882946301,10.94095742,7.26677797
Deaths,Global,Both,All ages,Breast cancer,Number,1992,398279.0813,414149.634,381008.1629
Deaths,Global,Both,All ages,Breast cancer,Rate,1992,7.222393468,7.510190095,6.909202607
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1992,9.776581836,10.16258565,9.265256168
Deaths,Central Latin America,Both,All ages,Breast cancer,Number,1992,6366.272635,6513.338495,6173.658878
Deaths,Central Latin America,Both,All ages,Breast cancer,Rate,1992,3.71871422,3.804619417,3.606203249
Deaths,Central Latin America,Both,Age-standardized,Breast cancer,Rate,1992,6.618203916,6.792657468,6.369722048
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1992,2502.158562,3068.864351,1998.84864
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1992,4.246273369,5.207998072,3.392134246
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1992,10.02741346,12.10374599,8.124995389
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1992,3388.108958,3733.297582,3047.440492
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1992,6.165745585,6.793926456,5.545790585
Deaths,Southern Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1992,11.43610233,12.763917,10.20936668
Deaths,High-income North America,Both,All ages,Breast cancer,Number,1992,53104.06178,54570.88238,50309.67598
Deaths,High-income North America,Both,All ages,Breast cancer,Rate,1992,18.48373428,18.9942851,17.51110276
Deaths,High-income North America,Both,Age-standardized,Breast cancer,Rate,1992,15.00424123,15.37966275,14.27786977
Deaths,Tropical Latin America,Both,All ages,Breast cancer,Number,1992,9682.875061,9988.094416,9341.690921
Deaths,Tropical Latin America,Both,All ages,Breast cancer,Rate,1992,6.120876156,6.313815738,5.905202003
Deaths,Tropical Latin America,Both,Age-standardized,Breast cancer,Rate,1992,9.583557278,9.909780289,9.153928419
Deaths,Central Asia,Both,All ages,Breast cancer,Number,1992,5219.873227,5401.856826,5047.491846
Deaths,Central Asia,Both,All ages,Breast cancer,Rate,1992,7.379147729,7.636411422,7.135458348
Deaths,Central Asia,Both,Age-standardized,Breast cancer,Rate,1992,10.55895884,10.92384755,10.18864669
Deaths,Australasia,Both,All ages,Breast cancer,Number,1992,3348.159176,3465.030686,3183.434688
Deaths,Australasia,Both,All ages,Breast cancer,Rate,1992,16.09817811,16.66010432,15.30617152
Deaths,Australasia,Both,Age-standardized,Breast cancer,Rate,1992,14.09188923,14.57557483,13.38472625
Deaths,High-income Asia Pacific,Both,All ages,Breast cancer,Number,1992,10336.95487,10597.02852,9899.578864
Deaths,High-income Asia Pacific,Both,All ages,Breast cancer,Rate,1992,5.905094215,6.053664023,5.65523857
Deaths,High-income Asia Pacific,Both,Age-standardized,Breast cancer,Rate,1992,4.891788325,5.026196328,4.665344458
Deaths,Central Europe,Both,All ages,Breast cancer,Number,1992,18242.69427,18820.06469,17565.41426
Deaths,Central Europe,Both,All ages,Breast cancer,Rate,1992,14.82812624,15.29742761,14.2776158
Deaths,Central Europe,Both,Age-standardized,Breast cancer,Rate,1992,12.629704,13.04302077,12.13881827
Deaths,Global,Both,All ages,Breast cancer,Number,1993,411583.6979,427275.1778,395788.4356
Deaths,Global,Both,All ages,Breast cancer,Rate,1993,7.356322751,7.636779901,7.074010678
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1993,9.876680047,10.25436445,9.408554266
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1992,8489.804468,10603.75504,6859.247658
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1992,4.16225367,5.198649569,3.362848797
Deaths,Western Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1992,8.96442615,11.15510977,7.305879342
Deaths,Central Asia,Both,All ages,Breast cancer,Number,1993,5428.196273,5617.629343,5229.825921
Deaths,Central Asia,Both,All ages,Breast cancer,Rate,1993,7.610698702,7.876296692,7.332570037
Deaths,Central Asia,Both,Age-standardized,Breast cancer,Rate,1993,10.89329829,11.26200831,10.48967466
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Number,1992,13007.54716,14705.84585,11910.36065
Deaths,North Africa and Middle East,Both,All ages,Breast cancer,Rate,1992,3.577698901,4.044812438,3.275920026
Deaths,North Africa and Middle East,Both,Age-standardized,Breast cancer,Rate,1992,6.496084344,7.328320813,5.931483558
Deaths,East Asia,Both,All ages,Breast cancer,Number,1993,47183.41036,54287.22356,40328.57133
Deaths,East Asia,Both,All ages,Breast cancer,Rate,1993,3.718338399,4.278161888,3.178135582
Deaths,East Asia,Both,Age-standardized,Breast cancer,Rate,1993,4.767767705,5.455023987,4.111888884
Deaths,Central Europe,Both,All ages,Breast cancer,Number,1993,18354.99262,18948.32483,17656.37366
Deaths,Central Europe,Both,All ages,Breast cancer,Rate,1993,14.95164681,15.43496455,14.38256437
Deaths,Central Europe,Both,Age-standardized,Breast cancer,Rate,1993,12.6053974,13.01860086,12.09033099
Deaths,High-income North America,Both,All ages,Breast cancer,Number,1993,54113.92069,55620.58007,51156.71975
Deaths,High-income North America,Both,All ages,Breast cancer,Rate,1993,18.63520038,19.15404838,17.61682967
Deaths,High-income North America,Both,Age-standardized,Breast cancer,Rate,1993,14.98443397,15.35963064,14.25534948
Deaths,Western Europe,Both,All ages,Breast cancer,Number,1992,90372.19326,92731.93138,85635.58405
Deaths,Western Europe,Both,All ages,Breast cancer,Rate,1992,23.32481443,23.93385635,22.10230863
Deaths,Western Europe,Both,Age-standardized,Breast cancer,Rate,1992,16.01170736,16.41081961,15.20720524
Deaths,Andean Latin America,Both,All ages,Breast cancer,Number,1993,1696.510259,1890.434672,1526.161207
Deaths,Andean Latin America,Both,All ages,Breast cancer,Rate,1993,4.187276809,4.66591535,3.766826281
