measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1995,55283.14611,60814.37386,50015.41885
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1995,4.467488811,4.914473106,4.041798267
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1995,7.570584405,8.355175289,6.793048861
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1994,120273.4923,123995.6716,115460.0019
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1994,10.06569301,10.37720233,9.662851819
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1994,10.6205591,10.96495178,10.14018189
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1994,83535.34495,88935.51889,78598.88871
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1994,4.57100395,4.866498227,4.300884026
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1994,6.84902624,7.272003939,6.446348757
Deaths,Global,Both,All ages,Breast cancer,Number,1997,443626.1598,459789.6811,425926.0083
Deaths,Global,Both,All ages,Breast cancer,Rate,1997,7.497838002,7.771021767,7.198683263
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1997,9.697775203,10.0581191,9.22878098
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1995,22616.9044,26319.33134,19220.14559
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1995,3.752488514,4.36677747,3.188914553
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1995,8.07377919,9.467045694,6.838792276
Deaths,High SDI,Both,All ages,Breast cancer,Number,1996,143901.6265,147776.1441,135877.9925
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1996,16.75192216,17.20296374,15.81787231
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1996,12.66776524,12.98848691,12.00819206
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1996,89146.19257,94250.0593,84096.67883
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1996,4.742647736,5.014177471,4.474009624
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1996,6.898690533,7.287789706,6.523635557
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1996,57495.62091,63096.95342,52406.95
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1996,4.566807635,5.011714702,4.162620658
